element,MT,n_points,E_min_MeV,E_max_MeV,xs_min_barn,xs_max_barn,xs_mean_barn,xs_median_barn,log10_xs_mean,log10_xs_median,auc_log10xs_over_log10E,slope_low,slope_mid,slope_high,xs_at_1em05_MeV,xs_at_0p001_MeV,xs_at_0p1_MeV,xs_at_1_MeV,xs_at_10_MeV,xs_at_1000_MeV,xs_at_100000_MeV,xs_at_1e+07_MeV
Ca,901,93235,1e-05,200000000.0,0.01107117,5563.852,543.1186449315043,66.08833,2.033884008060678,1.820124777729891,11.423064859640878,-0.5000005271360658,-0.4998495549724604,1.0765651958997005,51.15268000000001,5.115248000000001,0.5115206,0.1616774,0.051110720000000005,2.235748,26.81058,3948.4109999999987
Cd,900,168164,1e-05,200000000.0,0.005146913,53331.29,33.549322754586925,4.864857,0.4559000859889263,0.6870700789261017,26.874760071764264,-0.49080979322284896,-0.8767558374436901,1.0784896223462435,53331.29000000003,5386.790000000002,1993.8890000000008,9.311892,0.05707127,0.7193783,62.31107000000001,1184.2069999999997
Cd,901,168164,1e-05,200000000.0,0.005371924,57958.8,41.707168530976126,5.0637145,0.4868050517177667,0.7044692115013061,28.532308805652296,-0.49080962470163125,-0.8803773018060467,1.1215543114607365,57958.799999999974,5854.199999999999,2166.928,10.117030000000002,0.06165622000000001,0.7199525,124.66970000000002,2629.1909999999993
Ce,900,101113,1e-05,200000000.0,0.000234679,3417.136,50.0156724543688,14.73149,0.9155759813555492,1.1682466752915035,-0.284743082241496,-0.5000011453558163,-0.04409536780960192,0.9618332083603751,4.543859,0.45438420000000007,0.04539645000000001,0.014217620000000002,0.004102776,0.06879279999999999,30.346239999999998,964.7336000000005
Ce,901,101113,1e-05,200000000.0,0.0002465647,7464.139,101.07144673836466,25.21747,1.0954038827362906,1.4017015128415267,1.0859917732403161,-0.4999940484024277,-0.03959263451672463,1.0930766536059722,4.550506999999999,0.4550528,0.04547244999999999,0.014241599999999998,0.004110392999999999,0.06879901000000001,59.27264,2096.5660000000007
Cl,900,46221,1e-05,200000000.0,0.2489402,6746.481,117.48584360219813,81.90787,1.8426626809147384,1.913325632326541,23.95274396364036,-0.5000103682603849,-0.5559457818030231,0.6447396203866405,6746.4810000000025,674.6413999999997,67.38948999999998,21.104350000000004,6.060583000000001,1.463424,23.59417,856.6388
Cl,901,46221,1e-05,200000000.0,0.4339069,11059.23,259.7920460530387,183.4629,2.183592381844443,2.2635482541233025,27.207161236257512,-0.5000103841835699,-0.5559682763270588,0.6884786658835282,11059.229999999996,1105.9120000000005,110.46869999999998,34.59517,9.933972,1.47879,51.40386999999999,1981.6710000000003
Co,900,28737,1e-05,200000000.0,0.1368612,3696.17,80.91316382041272,34.63647,1.5710242101528746,1.5395336241755666,23.766298279078164,-0.499989669947088,-0.3371016439926715,0.4890111978426457,3696.170000000001,369.62209999999993,37.00444999999999,11.828449999999998,4.184985,1.332541,139.84049199623485,652.3742999999997
Co,901,28737,1e-05,200000000.0,0.2288583,6180.71,250.95347389574067,99.94049,2.023223369496049,1.9997414744219018,27.896182375147326,-0.49998967084943396,-0.3371016465191608,0.6230319235106021,6180.710000000001,618.0796000000003,61.87859000000001,19.779449999999997,6.9981040000000005,1.373799,455.2477783474296,2473.5640000000003
Cr,900,153941,1e-05,200000000.0,0.01798768,1366.279,134.5338711163365,92.18124,1.9310676217328862,1.9646425458533257,12.049205135844531,-0.5000074248311412,-0.5008528954858626,0.6992833104149032,133.73970000000006,13.373789999999998,1.338468,0.4238726,0.1338284,1.951452,228.19279999999992,369.4027000000001
Cr,901,153941,1e-05,200000000.0,0.02370142,3694.43,351.3011175936943,239.0118,2.3341378694685133,2.378419342573167,14.78022559126003,-0.5000073068178335,-0.5008897956551763,0.7671561289446629,176.3734,17.6371,1.765115,0.5589654,0.1764665,1.955651,560.0333000000003,993.38
Cs,900,36458,1e-05,200000000.0,0.006227392,4185.437,23.788542259570054,3.2503525,0.49707826111434006,0.5119304625919235,18.393323145050193,-0.4998544940687136,-0.35951037748700015,0.7239752636784382,519.7024000000002,51.97867,5.283978,2.017955,0.7846933,1.499594,47.60856999999999,1679.553
Cs,901,36458,1e-05,200000000.0,0.007352978,13144.99,46.90668214548911,3.6683565,0.5535744366564931,0.5644715346468496,20.997693755302066,-0.49985449859810777,-0.35951037307245953,0.7553497452460836,613.6372999999999,61.373689999999996,6.239044,2.382695,0.9265247,1.507879,131.40869999999998,5250.718
Cu,900,61488,1e-05,200000000.0,0.01141316,1294.52,40.14011561529681,26.756825,1.4082006953533557,1.4274345781567592,11.45903118291449,-0.5000043080009868,-0.5208978003425712,0.5485386999547368,115.24620000000003,11.5246,1.151906,0.3627933,0.11010260000000001,2.941284,32.30392942180348,468.35540000000015
Cu,901,61488,1e-05,200000000.0,0.01515598,5025.694,136.388745802339,77.53101000000001,1.8456275452030766,1.8894754414832022,15.212290103905827,-0.5000043336952651,-0.5211304347953002,0.8275557781822793,153.53010000000003,15.352990000000002,1.534552,0.483286,0.1466052,2.955522,131.54785458787913,2233.3070000000007
Dy,900,213490,1e-05,200000000.0,0.01667482,3761.29,13.397877928006979,2.4788475,0.3443943725307612,0.39424980954205974,23.622170766262848,-0.5006862961345169,-0.6214853201241557,0.8524886180122134,3761.2899999999995,375.8011,34.56586,8.049027,1.857356,0.6220555,52.56560999999999,917.5023000000003
Dy,901,213490,1e-05,200000000.0,0.01677425,6965.995,19.10030046946939,2.487533,0.37649771588176856,0.3957688508673026,24.903066140740137,-0.5006807474368126,-0.6211900632632499,0.9243340103455425,3765.9749999999995,376.27180000000016,34.61647000000001,8.068494,1.862808,0.625358,98.53131,1978.8400000000008
Er,900,254597,1e-05,200000000.0,0.009037244,2990.811,15.657635018011396,8.854671,0.6506874769311867,0.9471724293839188,18.334793924385934,-0.4968894215635325,-0.5032161525165643,1.089928909226221,568.1347000000001,57.013940000000005,8.464839,1.975304,1.366838,0.3907875,50.532379999999996,745.1333000000002
Er,901,254597,1e-05,200000000.0,0.01018504,6390.678,21.057397747605982,9.206149,0.6985404060217221,0.9640779995992482,19.611142679974392,-0.4967772296826526,-0.501674135246419,1.1640030868054183,569.6163999999999,57.17007999999999,8.505421,1.987316,1.390419,0.3927408,92.31397000000001,1580.9149999999997
