element,log10_xs_mean,log10_xs_median,auc_log10xs_over_log10E,slope_low,slope_mid,slope_high,Z,atomic_mass,peak_xs_barn,energy_at_peak_eV,std_log10_xs,log10_energy_at_peak,peak_to_mean_ratio,peak_to_median_ratio,xs_dynamic_range_log10,peak_width_log10E_halfmax,energy_span_log10,curve_center_log10E,weighted_center_log10E
Cd,0.4559000859889263,0.6870700789261017,26.874760071764264,-0.4908097932228489,-0.8767558374436901,1.0784896223462437,48.0,112.41,53331.29,1e-05,0.7562130430542656,-5.0,1589.6383479964122,10962.560667250857,7.015435261423532,0.598653742636051,13.301029995663981,3.2619535574981846,-0.9164915484608476
Ce,0.9155759813555492,1.1682466752915035,-0.284743082241496,-0.5000011453558163,-0.0440953678096019,0.9618332083603752,58.0,140.12,3417.136,200000000.0,1.159262656423687,8.301029995663981,68.32130474937797,231.96132909841432,7.163188034848513,0.9811743061248688,13.301029995663981,4.413946016526241,5.57216345992015
Cl,1.8426626809147384,1.913325632326541,23.95274396364036,-0.5000103682603849,-0.5559457818030231,0.6447396203866405,17.0,35.45,6746.481,1e-05,0.4848206375103532,-5.0,57.42377799016608,82.36670053805574,4.432982267475033,0.598653742636051,13.301029995663981,5.30934541734962,4.959062737249465
Co,1.5710242101528746,1.5395336241755666,23.766298279078164,-0.499989669947088,-0.3371016439926715,0.4890111978426457,27.0,58.933,3696.17,1e-05,0.5518870106458468,-5.0,45.68070046307512,106.71324185172449,4.4314715941806195,0.598653742636051,13.301029995663981,4.731511845360991,4.426137920654423
Cr,1.9310676217328864,1.9646425458533257,12.049205135844533,-0.5000074248311412,-0.5008528954858626,0.6992833104149032,24.0,51.996,1366.279,32000000.0,0.4582396209425837,7.505149978319906,10.155650682336548,14.821660025402132,4.880564240301681,2.9300138822007176,13.301029995663981,5.4481826673681155,5.720952328183727
Cs,0.49707826111434,0.5119304625919235,18.3933231450502,-0.4998544940687136,-0.3595103774870001,0.7239752636784382,55.0,132.91,4185.437,200000000.0,0.7853185725001338,8.301029995663981,175.9433997396882,1287.6871047063357,5.8274346048098415,7.532793450967358,13.301029995663981,2.9983875042094716,4.250834310232184
Cu,1.4082006953533557,1.4274345781567592,11.45903118291449,-0.5000043080009868,-0.5208978003425712,0.5485386999547368,29.0,63.546,1294.52,48000000.0,0.4818277059083173,7.681241237375588,32.25003167421564,48.380927109251566,5.054702858918814,1.1706962271689747,13.301029995663981,4.431687869560301,4.749436320392295
Dy,0.3443943725307612,0.3942498095420597,23.622170766262848,-0.5006862961345169,-0.6214853201241557,0.8524886180122134,66.0,162.5,3761.29,1e-05,0.8594919630661263,-5.0,280.73774221642844,1517.3543350286775,5.353275664815299,13.301029995663981,13.301029995663981,3.016965174572066,3.4721430597913607
Er,0.6506874769311867,0.9471724293839188,18.33479392438593,-0.4968894215635325,-0.5032161525165643,1.089928909226221,68.0,167.26,2990.811,200000000.0,0.8780889045389921,8.301029995663981,191.01294649923761,337.76647376283097,5.51975296116178,0.8860566476931631,13.301029995663981,3.483321478730006,4.275711275958026
Eu,1.836195099345312,1.7538557285952794,37.17694912962397,-0.5044025157947009,-0.5360747735143746,0.457609766950261,63.0,151.96,209643.6,1e-05,0.7087182033787164,-5.0,233.61249550399455,3695.097311899881,5.05908700475699,0.598653742636051,13.301029995663981,1.7741713199393008,-2.656273545702052
Fe,1.8166397061247228,1.8158556344324703,12.841562322385691,-0.5000007334510196,-0.5032801162452215,0.6515237402440719,26.0,55.845,1370.88,45000000.0,0.523054648175128,7.653212513775344,11.97186865446583,20.948059850377113,4.878496728491678,2.4331063552105414,13.301029995663981,5.377669953543789,5.840590040423834
Ga,1.244212882327505,1.2659233934754883,12.870902626336806,-0.4999962801995333,0.1958362720707028,0.595268570414032,31.0,69.723,2307.373,53000000.0,0.5987624880130803,7.724275869600789,50.947846350796695,125.08188367693218,4.6680304135408575,1.1913401054743025,13.301029995663981,3.734311902884789,4.734535562916954
Gd,0.5593015600655376,0.4548559839001448,33.38370829174824,-0.4866980707881305,-0.8514748022658088,0.4792429195595193,64.0,157.25,404289.9,1e-05,0.608021551211668,-5.0,1000.6837094914717,141852.47184896667,6.697287875765853,0.598653742636051,13.301029995663981,2.7567812083270167,-3.73117876226463
Ge,1.3442202839155208,1.5486630541462627,9.90313380384985,-0.499991912452409,-0.2473578405600581,0.982129080903233,32.0,72.63,1901.602,51000000.0,0.7544962106465077,7.707570176097937,32.950986122417085,53.75966717440888,5.661249468986976,1.2147698505723872,13.301029995663981,4.193304872650958,4.791862341521393
Hf,-0.5854806631884105,-0.6797796407952101,14.752925314404845,-0.4992883011807604,-0.6038483123249835,0.2029347583207929,72.0,178.49,2310.062,200000000.0,0.7606930764185915,8.301029995663981,466.29953515703335,11051.043207223263,5.924608646182627,0.8538719643217618,13.301029995663981,2.5972469352522665,4.755886862028971
Hg,1.1395184313696436,1.1642320694080075,22.36103259358695,-0.5007370675679131,-0.6178677836281292,0.7218833690340825,80.0,200.59,5320.111,1e-05,0.7307162960912692,-5.0,109.75897198550456,364.4925232633184,5.304039170215781,13.301029995663981,13.301029995663981,3.878387698191601,3.031022624339455
Ho,0.5301960975485029,0.4916622336781776,21.86494365888079,-0.5000427299098682,-0.1524275531244074,0.0793087274881172,67.0,164.93,3063.124,200000000.0,0.8674060784107285,8.301029995663981,96.07500878726621,987.4209660022449,5.562825522579243,7.714693326463895,13.301029995663981,2.5405668800677472,2.6186750839049497
In,0.1538136898774298,0.48886659313586,24.5614666677492,-0.4987865648108951,-1.1971945923868708,1.0194926823419013,49.0,114.82,11744.7,1.46,0.9428991233633264,0.1643528557844371,333.54248727844526,3810.441818144656,6.254512874380308,0.03167452139061577,13.301029995663981,2.583882769665198,2.038632435613468
Ir,-0.0699853176384668,-0.1505604690828823,16.098323171155904,-0.5004132081996474,-0.481299225439496,0.6619129441302527,77.0,192.22,2177.848,200000000.0,0.863693701268347,8.301029995663981,148.38721810321962,3080.26466949374,5.44824526692346,0.7825160557860942,13.301029995663981,1.84170604946945,4.753054843449699
Kr,1.235275953047538,1.1821313550321786,15.911732122485546,-0.5001431696855297,-0.3697322929888101,0.8331490781524963,36.0,83.798,1757.586,53000000.0,0.948033735513467,7.724275869600789,23.273453603628987,115.55406531525979,5.717696944190012,1.1706962271689747,13.301029995663981,4.204064001802055,5.379978343296605
La,0.0846434771079854,0.5922351777357079,7.24660712145706,-0.5000292672120678,-0.309652825366595,1.8032375096988909,57.0,138.91,3408.001,200000000.0,1.4705962203165182,8.301029995663981,159.5932878926019,871.4942695688509,7.5077953117356255,1.0639137251289243,13.301029995663981,3.4781062672179344,5.7466501146538596
Li,2.6036351680243133,2.135004235565772,34.25988350083826,-0.500000591767402,-0.4998983001342498,0.1340553966053147,3.0,6.94,162960.2,1e-05,1.120012953769116,-5.0,16.45499773448331,1194.1918787577226,4.911051553335263,0.598653742636051,13.301029995663981,2.7437137372229876,-4.088982135617196
Lu,-0.4345509330028866,-0.5352915720445197,12.447125033618963,-0.4918534530109551,-0.3999016274856351,0.529137924784208,71.0,174.97,2716.936,200000000.0,0.7933748129182676,8.301029995663981,489.34047150825154,9319.035805216932,5.339702975283442,0.8538719643217618,13.301029995663981,2.633673270223048,5.66606017421467
Mg,2.535369549094563,2.839247167601907,9.445030433137804,-0.5000005389177669,-0.4770892156575652,0.4768602755128969,12.0,24.305,2768.849,498296.0,0.9062889016345764,5.6974874009480985,3.614581533692591,4.00914813263634,5.647813595506962,2.489431870122467,13.301029995663981,4.953627704106715,5.732542863659038
Mn,1.5446093265205518,1.6084447294632105,18.42317726322784,-0.4999968267146135,-0.4702833980186826,0.4388853586181951,25.0,54.938,1511.587,20811320.0,0.6067063583768372,7.318299627089828,20.521322108548326,37.238177589893674,4.905739641585773,5.26114732925863,13.301029995663981,4.507976597396257,4.8498677808919375
Mo,0.4288187111642469,0.8550058761870011,5.881307033780947,-0.5000213720253455,-0.1864171382078955,1.3250173352544927,42.0,95.95,1206.545,57000000.0,1.0748056946129076,7.7558748556724915,99.63523692144675,168.47584685453432,6.258422939078985,1.2803331761313483,13.301029995663981,3.7302375862218677,4.955867933570872
Na,2.485354148658293,2.743610127164638,15.232254062385572,-0.499999961929358,-0.4967582445707071,0.5098680768231907,11.0,22.99,1473.681,708700.6,0.638453776600644,5.850462800444004,2.889464316932985,2.659459307284661,4.567973959710988,4.269865706170252,13.301029995663981,5.184089989233275,5.884873154004966
Nb,0.1841286394796974,0.5006035620204754,1.598048679960856,-0.4995922663746676,-0.0579506911042861,1.3404713408515896,41.0,92.906,1292.304,57000000.0,0.9836168316884696,7.7558748556724915,133.04523633820554,408.0948616301228,5.6068181199960465,1.1870866433571443,13.301029995663981,3.403220997730382,5.231082873101256
Nd,0.9762398199671626,1.0801939610324636,19.08615849199296,-0.4899884398913586,-0.0285440971139847,0.7628175840538934,60.0,144.24,3672.231,200000000.0,0.610202043268009,8.301029995663981,141.17501322349594,305.306486564907,4.0885885617752304,0.9929417529735955,13.301029995663981,3.527768435211241,4.729970790621487
Ne,1.5898349006495354,1.9012925276693555,-2.194805116441695,-0.5000013816809205,-0.4997502643533034,0.6729605112127789,10.0,20.18,1042.561,911312.5,1.0826659027132508,5.959667327306078,6.900472092029996,13.086061204289015,6.50003877756387,1.175554197242577,13.301029995663981,4.6551011220319145,6.027846745634564
Ni,1.8289636219604464,1.883122518992232,16.07137880964146,-0.5000006277316092,-0.5020510806940849,0.4142124153362789,28.0,58.693,861.8347,36000000.0,0.3608567140781524,7.556302500767287,9.311927369810919,11.279801500239579,4.221029496185945,1.6100334248172183,13.301029995663981,5.322913623955399,5.652755624942446
Os,-0.7361470541080825,-1.2864612000020768,3.0553059372337774,-0.4992601553305207,-0.042779519285383,1.199148833952591,76.0,190.23,2246.749,200000000.0,1.134623894317898,8.301029995663981,291.4168423339044,43452.59893267179,5.673187615686254,0.8096683018297082,13.301029995663981,2.988087079695341,5.652438525044667
